"X.1","tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","voronoi.area","radius","radius.external"
2,"4020","4019",FALSE,TRUE,FALSE,FALSE,"HEN1","X",NA,"PSME",76.5,4,"4019",270,TRUE,6.2,"","tree","","",103.5,-88233.26079,100324.1375,0,379.346015488203,NA,NA,285.3339
3,"1403","1402",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"ABCO",45.3,7,"1402",238,FALSE,7.5,"","tree","","",251.5,62461.89007,-86584.86176,0,1720.48267692099,32.40264612,NA,181.69998
4,"4021","4020",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",59,4,"4020",9,TRUE,11.4,"","tree","","",202.5,-88228.8982,100334.6697,0,373.332716591874,44.79788483,256.695735270199,227.2059
5,"4038","4036",FALSE,TRUE,FALSE,FALSE,"ULC1","X",NA,"PSME",27.2,7,"4036",320,TRUE,1.3,"","tree","","",153.5,-83917.92495,105128.9996,0,425.371342956564,10.58420002,NA,121.57902
6,"1404","1403",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"ABCO",43.9,8,"1403",246,FALSE,10,"","tree","","",259.5,62471.72262,-86583.0394,0,1723.16398937381,38.81165302,219.995892162943,177.04974
7,"4022","4021",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",27.8,6,"4021",96,FALSE,7.6,"","tree","","",109.5,-88236.06227,100337.2066,0,372.217610838974,35.58872575,123.901735537273,123.57198
8,"4039","4038",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",30.3,7,"4038",36,FALSE,9.7,"","tree","","",49.5,-83925.30088,105122.7,0,430.009270688138,10.49761295,129.819497402757,131.87598
9,"1445","1444",FALSE,TRUE,FALSE,FALSE,"ZA04A","X",NA,"PILA",40.1,12,"1444",44,TRUE,2.2,"","tree","","",237.5,-48874.56746,130181.9336,0,1712.33305910513,12.58575555,NA,164.42766
10,"1405","1404",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PSME",53,NA,"1404",252,FALSE,9.9,"","tree","","",265.5,62481.5921,-86582.26266,0,1725.80705180864,56.17800609,206.279747754761,207.2763
11,"1382","1381",FALSE,TRUE,FALSE,FALSE,"ZA03","X",NA,"PIPO",62.8,4,"1381",42,FALSE,14.7,"","tree","","",55.5,-49130.59406,130830.3127,0,1675.56416031082,79.36954449,NA,239.82798
12,"4023","4022",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",28.6,7,"4022",59,FALSE,3.5,"","tree","","",72.5,-88239.40028,100336.1541,0,373.125639949293,NA,126.768007297694,126.22926
13,"4040","4039",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",28.4,8,"4039",200,FALSE,4.2,"","tree","","",213.5,-83922.98275,105126.2023,0,427.81782214033,22.2417452,NA,125.56494
14,"1446","1445",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PILA",101.7,4,"1445",322,FALSE,9.7,"","tree","","",335.5,-48870.54494,130173.107,0,1718.74649948241,111.957393,NA,369.03822
15,"1471","1470",FALSE,TRUE,FALSE,FALSE,"WA01","X",NA,"ABCO",70.1,13,"1470",50,FALSE,5.4,"","tree","","",63.5,-54421.76278,130068.865,0,1463.32610471888,10.66449012,NA,264.07566
16,"1406","1405",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"ABCO",32.2,5,"1405",212,FALSE,15.4,"","tree","","",225.5,62492.57616,-86571.46866,0,1726.42219833998,43.28819259,117.661502888778,138.18702
18,"4024","4023",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",31.1,2,"4023",57,FALSE,14.6,"Ref missing on datasheet","tree","","",70.5,-88253.16285,100331.2806,0,377.18020709098,31.77158415,127.781938189409,134.53326
20,"1434","1432",FALSE,TRUE,FALSE,FALSE,"YB01F","X",NA,"PSME",63.7,8,"1432",333,FALSE,8.2,"pitching","tree","","",346.5,10553.67482,-48003.56129,0,1097.84446340053,41.09335692,NA,242.81742
21,"4041","4040",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",30.3,7,"4040",75,FALSE,6.9,"","tree","","",88.5,-83929.88038,105126.0217,0,429.327305820106,12.24243546,121.143422542648,131.87598
22,"1447","1446",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PSME",62.2,8,"1446",225,FALSE,12.9,"","tree","","",238.5,-48859.54588,130179.8472,0,1714.47888441591,62.4948021,220.815197592633,237.83502
24,"1095","1032",FALSE,TRUE,FALSE,FALSE,"SS81","X",NA,"ABCO",74.2,9,"1032",317,TRUE,5.3,"","tree","","",150.5,-102900.3649,188421.5078,0,1184.3691772677,33.33262835,NA,277.69422
25,"1407","1406",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PSME",31.7,4,"1406",131,FALSE,10.3,"","tree","","",144.5,62486.59492,-86563.08327,0,1723.07522330672,29.72119522,119.962983823922,136.52622
26,"2001","2000",FALSE,TRUE,FALSE,FALSE,"RS98F","X",NA,"PSME",43.6,7,"2000",295,TRUE,4.5,"","tree","","",128.5,31570.96747,-32312.06723,0,1214.16144458486,149.7866763,151.696767421116,176.05326
27,"1384","1383",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PSME",47.8,2,"1383",311,TRUE,7.7,"","tree","","",144.5,-49144.89305,130832.1027,0,1678.45517460824,77.77452367,185.344747228429,190.00398
28,"1303","1301",FALSE,TRUE,FALSE,FALSE,"SSA15","X",NA,"PIPO",128,7,"1301",315,FALSE,20.4,"","tree","","",328.5,-61843.75632,111676.0349,0,725.131685541563,152.8524168,NA,456.3963
30,"4025","4024",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PISA",22.5,2,"4024",15,TRUE,2.3,"Depends on ref missing on datasheet","tree","","",208.5,-88252.06538,100333.3018,0,375.828811658717,NA,95.3888596931401,105.9675
31,"4002","4001",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",51,5,"4001",200,FALSE,10.2,"","tree","","",213.5,-89485.60531,102255.1049,0,249.08808302049,60.4176937,213.351175456319,200.6331
32,"1435","1434",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PSME",77.2,7,"1434",259,TRUE,6.1,"","tree","","",92.5,10547.58063,-48003.29521,0,1096.65805084829,55.9153339,NA,287.65902
33,"4042","4041",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",32.7,7,"4041",296,TRUE,2.3,"","tree","","",129.5,-83931.65512,105127.4847,0,428.960635291891,6.379748245,149.27954865389,139.84782
34,"1448","1447",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PSME",35.6,11,"1447",194,FALSE,5.4,"","tree","","",207.5,-48857.05244,130184.6371,0,1713.14263962115,3.915790769,158.55329095456,149.48046
35,"1474","1472",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PSME",52.2,13,"1472",7,TRUE,4.6,"","tree","","",200.5,-54429.219,130081.7781,0,1463.2739991497,19.39272417,194.939259385174,204.61902
36,"1094","1095",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"PSME",45.1,11,"1095",188,FALSE,3.1,"","tree","","",201.5,-102899.2288,188424.3921,0,1184.04104416223,42.19207045,210.632971011821,181.03566
38,"1408","1407",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PIPO",29.8,5,"1407",183,FALSE,6.6,"","tree","","",196.5,62488.46942,-86556.75506,0,1722.23316891532,48.33105554,NA,130.21518
39,"2003","2001",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PIPO",41.2,8,"2001",143,FALSE,10.6,"","tree","","",156.5,31566.74073,-32302.34639,0,1214.79743491518,68.32827886,140.809358622335,168.08142
40,"2022","2020",FALSE,TRUE,FALSE,FALSE,"RS58","X",NA,"PSME",96.6,14,"2020",90,FALSE,8.2,"fire scar","tree","","",103.5,30544.53548,-33508.98735,0,1253.78600230781,60.60958076,NA,352.09806
41,"2563","2561",FALSE,TRUE,FALSE,FALSE,"RT02","X",NA,"PSME",27.7,10,"2561",191,TRUE,1.4,"","tree","","",24.5,28501.48519,-52322.38563,0,1199.55327155483,24.25620608,116.043612392463,123.23982
43,"1304","1303",FALSE,FALSE,TRUE,FALSE,"SSA15","X",NA,"PSME",150,5,"1303",20,TRUE,14.2,"","tree","","",213.5,-61835.91881,111687.876,0,719.628326823697,91.38783332,NA,529.4715
44,"1362","1359",FALSE,FALSE,TRUE,FALSE,"ZA10A-C","X",NA,"PIPO",43,5,"1359",68,FALSE,25.8,"","tree","","",81.5,-45405.99641,121761.6039,0,1788.77182650704,NA,NA,174.0603
45,"4026","4025",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",36,4,"4025",226,TRUE,2.6,"Depends on ref missing on datasheet","tree","","",59.5,-88254.30562,100331.9822,0,376.817827510455,NA,176.352723100272,150.8091
46,"4003","4002",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",28,6,"4002",255,FALSE,16,"","tree","","",268.5,-89469.61079,102255.5237,0,245.621977363755,42.91345256,NA,124.2363
47,"1144","1143",FALSE,TRUE,FALSE,FALSE,"LESTAN","X",NA,"PIPO",34.8,9,"1143",340,FALSE,10.8,"","tree","","",353.5,1480.560585,-21023.10662,0,1108.4890624842,NA,147.153575561401,146.82318
48,"1436","1435",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PSME",47.5,6,"1435",79,FALSE,5.2,"","tree","","",92.5,10542.38558,-48003.06839,0,1095.63989580909,86.31846384,194.701499980598,189.0075
49,"4043","4042",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",31.3,7,"4042",159,TRUE,0.5,"","tree","","",352.5,-83931.58986,105126.9889,0,429.195533344746,25.76066407,137.25447385155,135.19758
51,"1475","1474",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PILA",100.6,11,"1474",157,FALSE,3.9,"","tree","","",170.5,-54429.86269,130085.6247,0,1463.10630978029,NA,NA,365.38446
52,"1397","1485",FALSE,TRUE,FALSE,FALSE,"SS24","X",NA,"PSME",79.3,5,"1485",235,TRUE,7.3,"","tree","","",68.5,-64021.34498,117767.0233,0,1245.36436463562,66.49013604,NA,294.63438
53,"1034","1094",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"PSME",44.3,15,"1094",57,FALSE,8.7,"","tree","","",70.5,-102907.4298,188421.488,0,1181.73513840969,34.04792459,194.222052502312,178.37838
54,"2104","2100",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"PSME",93.8,12,"2100",342,FALSE,59.1,"","tree","","",355.5,15379.76434,-26338.81748,0,1491.66040050633,79.55640107,NA,342.79758
55,"2049","RS77ROCK",FALSE,TRUE,FALSE,FALSE,"RS77","X",NA,"PSME",68.9,6,"RS77ROCK",22,FALSE,17.2,"","tree","","",35.5,17768.68016,-10354.02704,0,1367.88996693014,116.9980077,NA,260.08974
57,"2004","2003",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PSME",45.7,5,"2003",141,FALSE,9.3,"","tree","","",154.5,31562.73698,-32293.95235,0,1215.35574321673,76.86609448,200.920086897396,183.02862
58,"2024","2022",FALSE,FALSE,TRUE,FALSE,"RS58","X",NA,"PSME",74.6,9,"2022",230,TRUE,11.4,"","tree","","",63.5,30534.33323,-33514.07401,0,1255.31798773257,58.71589575,228.355505034059,279.02286
59,"2566","2563",FALSE,FALSE,TRUE,FALSE,"RT02","X",NA,"ABCO",41.2,12,"2563",84,FALSE,5.3,"","tree","","",97.5,28496.23053,-52321.69384,0,1199.55113210935,17.0717235,195.984789664583,168.08142
60,"1386","1385",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PSME",42.5,6,"1385",132,FALSE,7.8,"","tree","","",145.5,-49163.07811,130824.0234,0,1679.14732589659,94.49158911,165.929771143383,172.3995
