"plot.id","ppt.norm","tmean.norm","x.plot","y.plot","rad.tot","rad.03","rad.06","voronoi.area.mean","n.trees","n.psme","n.pipo","n.abco","n.pila","cluster"
"A1",1711.34444222222,10.2489285555556,-42988.4357706667,122474.91394,32106.52,1957.89133333333,5120.13,32.0743899233333,15,11,0,4,0,"Tahoe"
"ARE1",962.75303125,14.9636104166667,-82097.27502125,106373.0741,42254.20625,2652.71625,5653.006875,58.5070046325,16,11,5,0,0,"Tahoe"
"HARDIN",995.167101754386,12.1458312280702,9881.18270073684,-23079.9973126316,42510.7789473684,2919.69,5739.13947368421,25.9790450836667,19,12,7,0,0,"Yose"
"HARDIN B",1004.2892047619,12.2791033333333,7495.86212585714,-23033.0383542857,44334.8,3088.27,5790.54571428571,68.4605932742857,7,5,2,0,0,"Yose"
"HEN1",882.132516666667,15.3001733333333,-88261.1444675,100326.221375,26269.81,1179.717,5032.4225,46.073982153,20,11,3,0,0,"Tahoe"
"LESTAN",987.851984210526,13.1483396491228,1469.23803273684,-21043.6848410526,33333.7894736842,1974.39526315789,5418.57052631579,31.8045638930769,19,10,9,0,0,"Yose"
"LLC",910.8077,15.4352783333333,-89460.5850233333,102261.558433333,28295.2333333333,1415.575,5139.20333333333,NA,6,6,0,0,0,"Tahoe"
"LLC1",911.026273333333,15.441105,-89474.897407,102271.90532,28172.41,1386.088,5127.376,48.796912744,10,7,2,0,0,"Tahoe"
"RR20",922.000980555556,11.1475960833333,62483.2189333333,-86559.7912441667,36786.2416666667,2511.67333333333,5606.60416666667,54.270985143,12,5,3,4,0,"Sierra"
"RR32",946.907075757576,11.6020975454545,62225.2670572727,-85125.7944563636,46031.9454545455,3489.00636363636,5759.05272727273,23.1536922127,11,6,5,0,0,"Sierra"
"RR33",971.852348148148,11.1023710740741,62807.8270855556,-84128.0009833333,32077.4666666667,2105.04,5311.26,13.3823517755714,9,4,0,5,0,"Sierra"
"RR7",924.358566666667,12.3924755555556,65220.9371216667,-91527.8763758333,34167.1583333333,2222.49083333333,5587.665,61.2804466308333,12,6,6,0,0,"Sierra"
"RR71",938.58396,10.0250919,63269.834485,-86832.891743,35409.87,2431.73,5373.291,34.9648134975,10,5,0,5,0,"Sierra"
"RS01",1045.03038550725,11.8373779710145,28169.2304252174,-51905.5845069565,43920.9565217391,3084.17,5852.25347826087,24.8288714844211,23,13,10,0,0,"Yose"
"RS10",1063.43682156863,11.4294584509804,33189.8770035294,-52984.51759,40311.4588235294,2781.89647058824,5821.12058823529,45.6906313956429,17,8,7,2,0,"Yose"
"RS54",1030.50046296296,12.7428351851852,25650.2836022222,-33201.3597188889,38057.1888888889,2610.15555555556,5691.79333333333,50.8098162955556,9,5,4,0,0,"Yose"
"RS58",1016.69029166667,11.7912891666667,30525.49015,-33521.9720225,25802.4166666667,1612.12916666667,4903.9925,69.8636975925,12,10,0,2,0,"Yose"
"RS77",1032.6822,11.7958433333333,17790.3360425,-10343.85777625,28955.65,1805.39625,5092.515,53.0951259057143,8,8,0,0,0,"Yose"
