"X.1","tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","cluster","voronoi.area","radius","radius.external"
20,"1434","1432",FALSE,TRUE,FALSE,FALSE,"YB01F","X",NA,"PSME",63.7,8,"1432",333,FALSE,8.2,"pitching","tree","","",346.5,10553.67482,-48003.56129,0,1097.84446340053,"SL",41.09335692,NA,242.81742
26,"2001","2000",FALSE,TRUE,FALSE,FALSE,"RS98F","X",NA,"PSME",43.6,7,"2000",295,TRUE,4.5,"","tree","","",128.5,31570.96747,-32312.06723,0,1214.16144458486,"SL",149.7866763,153.042234653762,176.05326
32,"1435","1434",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PSME",77.2,7,"1434",259,TRUE,6.1,"","tree","","",92.5,10547.58063,-48003.29521,0,1096.65805084829,"SL",55.9153339,NA,287.65902
39,"2003","2001",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PIPO",41.2,8,"2001",143,FALSE,10.6,"","tree","","",156.5,31566.74073,-32302.34639,0,1214.79743491518,"SL",68.32827886,140.809358622335,168.08142
40,"2022","2020",FALSE,TRUE,FALSE,FALSE,"RS58","X",NA,"PSME",96.6,14,"2020",90,FALSE,8.2,"fire scar","tree","","",103.5,30544.53548,-33508.98735,0,1253.78600230781,"SL",60.60958076,NA,352.09806
41,"2563","2561",FALSE,TRUE,FALSE,FALSE,"RT02","X",NA,"PSME",27.7,10,"2561",191,TRUE,1.4,"","tree","","",24.5,28501.48519,-52322.38563,0,1199.55327155483,"SL",24.25620608,116.043612392463,123.23982
47,"1144","1143",FALSE,TRUE,FALSE,FALSE,"LESTAN","X",NA,"PIPO",34.8,9,"1143",340,FALSE,10.8,"","tree","","",353.5,1480.560585,-21023.10662,0,1108.4890624842,"SL",NA,NA,146.82318
48,"1436","1435",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PSME",47.5,6,"1435",79,FALSE,5.2,"","tree","","",92.5,10542.38558,-48003.06839,0,1095.63989580909,"SL",86.31846384,194.701499980598,189.0075
54,"2104","2100",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"PSME",93.8,12,"2100",342,FALSE,59.1,"","tree","","",355.5,15379.76434,-26338.81748,0,1491.66040050633,"SL",79.55640107,NA,342.79758
55,"2049","RS77ROCK",FALSE,TRUE,FALSE,FALSE,"RS77","X",NA,"PSME",68.9,6,"RS77ROCK",22,FALSE,17.2,"","tree","","",35.5,17768.68016,-10354.02704,0,1367.88996693014,"SL",116.9980077,NA,260.08974
57,"2004","2003",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PSME",45.7,5,"2003",141,FALSE,9.3,"","tree","","",154.5,31562.73698,-32293.95235,0,1215.35574321673,"SL",76.86609448,200.920086897396,183.02862
58,"2024","2022",FALSE,FALSE,TRUE,FALSE,"RS58","X",NA,"PSME",74.6,9,"2022",230,TRUE,11.4,"","tree","","",63.5,30534.33323,-33514.07401,0,1255.31798773257,"SL",58.71589575,228.355505034059,279.02286
