Timestamp,Core number,Newer record exists?,Core has multiple records?,Modification(s) made,If adding or removing rings...,Core status,Good alignment through year,Was alignment limited by reference chronology length?,Other notes,Person,Derek double-check needed?,Crossdating by...,Were there multiple potential ways to get good alignment?,If modification did not make sense in image...,
3/3/2015 9:31:42,1328,TRUE,TRUE,,Yes,Good alignment through year X,1971,No,,Derek,,,,,
3/3/2015 9:43:54,1445,FALSE,FALSE,Dated core,,Good alignment through year X,1887,Yes,,Derek,,,,,
3/3/2015 9:55:27,1396,FALSE,FALSE,"Dated core, Removed ring(s)",Yes,Good alignment throughout,,No,,Derek,,,,,
3/3/2015 10:23:23,1045,FALSE,FALSE,Dated core,,Poor alignment  throughout,,No,,Rosie,,,,,
3/3/2015 10:42:57,1090,TRUE,TRUE,Dated core,,Good alignment through year X,1962,No,,Rosie,,,,,
3/3/2015 10:49:43,1444,TRUE,TRUE,Dated core,,Good alignment through year X,1943,Yes,,Rosie,,,,,
3/3/2015 11:04:05,1376,FALSE,FALSE,Dated core,,Good alignment through year X,1957,No,,Rosie,,,,,
3/3/2015 11:12:56,1290,TRUE,TRUE,"Dated core, Removed ring(s)",Yes,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 11:19:47,1451,TRUE,TRUE,Dated core,,Good alignment through year X,1943,Yes,,Rosie,,,,,
3/3/2015 11:26:58,1333,FALSE,FALSE,"Dated core, Removed ring(s)",Yes,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 11:45:03,1292,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Rosie,Still calibrating,,,,
3/3/2015 11:53:05,1288,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Rosie,looks stochastic,,,,
3/3/2015 11:58:26,1037,TRUE,TRUE,Dated core,,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 12:03:06,1380,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 12:16:34,1047,FALSE,FALSE,Dated core,,Good alignment through year X,1931,No,,Rosie,"97&'96 outliers on curve display, on core look very normal. Everything else looks ok?",,,,
3/3/2015 12:22:28,1361,TRUE,TRUE,Dated core,,Good alignment through year X,1943,Yes,,Rosie,,,,,
3/3/2015 12:29:26,1352,TRUE,TRUE,"Dated core, Removed ring(s)",Yes,Good alignment through year X,1977,Yes,,Rosie,deleted ring 38 (~1977). Autoplace is wacky,,,,
3/3/2015 12:33:15,1091,TRUE,TRUE,Dated core,,Good alignment through year X,1943,Yes,,Rosie,,,,,
3/3/2015 12:36:01,1213,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 12:47:54,1386,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Rosie,no obvious similar trend between two plots,,,,
3/3/2015 12:51:55,1081,TRUE,TRUE,Dated core,,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 12:58:36,1037Z,TRUE,TRUE,Dated core,,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 13:01:00,1364,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 13:03:24,1209,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Rosie,,,,,
3/3/2015 13:06:51,1365,TRUE,TRUE,Dated core,,Good alignment through year X,1943,Yes,,Rosie,,,,,
3/3/2015 13:09:33,1370,TRUE,TRUE,Dated core,,Good alignment through year X,1943,Yes,,Rosie,,,,,
3/3/2015 13:11:18,1034,TRUE,TRUE,Dated core,,Good alignment through year X,1943,No,,Rosie,,,,,
3/3/2015 13:13:02,1206,FALSE,FALSE,Dated core,,Good alignment through year X,1943,No,,Rosie,,,,,
3/3/2015 13:16:36,1329Z,FALSE,FALSE,Dated core,,Good alignment through year X,1949,No,,Rosie,,,,,
3/3/2015 13:22:52,1387,FALSE,FALSE,Dated core,,Good alignment through year X,1957,No,,Rosie,,,,,
3/3/2015 13:24:13,1214,FALSE,FALSE,Dated core,,Good alignment through year X,1958,No,,Rosie,,,,,
3/3/2015 13:27:45,1100,FALSE,FALSE,"Dated core, Removed ring(s)",Yes,Good alignment throughout,,No,,Rosie,It worked much better to remove the last year's ring- but it doesn't look like bark,,,,
3/4/2015 13:35:50,4202,TRUE,TRUE,Resolved uncs,Yes,Good alignment through year X,1978,No,,Derek,Double-check adding ring in 1976,,,,
3/4/2015 13:38:50,4034,FALSE,FALSE,,Yes,Good alignment through year X,1977,No,,Derek,,,,,
3/4/2015 13:44:36,1287,FALSE,FALSE,"Dated core, Added ring(s)",Yes,Good alignment through year X,1887,Yes,,Derek,,,,,
3/4/2015 14:12:40,1071,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Sky,,,,,
