ID,Most recent year of unclear modification,Measured rings match image?,Comments
1071,NA,Yes,
1273,1983,No,
pm262,1915,No,Two points were deleted at first for a high correlation but when you add points in correlation is still good. Added points and resubmitted form. 
1239,1933,No,
1267,1948,No,
2157,1931,No,
1415,NA,NA,Removed a point that actually made no sense and alignment improved
2087Z,,,"2087, no 2087Z"
1497,1949,No,
1020,NA,Yes,
1024,NA,Yes,
1008,NA,Yes,
2114,1950,No,
2117,NA,Yes,
2127,1972,No,
2129,1969,No,"Dated to 1996 (originally 1998) got rid of 3 added points removed one, improves alignment a lot"
2018,1977,No,
2526,NA,Yes,
2510,1935,No,
2500,1970,No,
1248,1969,No,
2137,NA,Yes,"Note: whoever did this wrote ""good alignment through 1924"" but 1924 is its last year"
1500,1917,No,
2024,NA,Yes,
2594,1875,No,I also had to turn the uncs into confirmed points and resubmitted a form
2600,1978,No,
1065,1943,No,
2023,NA,No,
1495,1956,no,Two rings were deleted for better alignment but they are clearly rings. I just left it since there's no other way to get good alignment
1494,1988,no,
2037,NA,Yes,Added back the skipped ring and improved alignment throughout core (not sure why deleted in the first place)
1226,NA,Yes,"The rings not included were clearly uncs, the image justified the placing. Good Alignment."
1078,1944,No,
2580,1933,No,Went back in an resolved uncs as well.
2148,1921,No,
2601,1991,No,Removed unc
2031,NA,Yes,Could not find extra/removed ring-- all justifiable
2529,1938,Yes,"Could not find extra ring that didn't make sense (noted in the crossdating progress) and alignment only good through 1938, not 1903"
2584,NA,Yes,"Added back the delted ring, improved alignment throughout (originally limited by chronology, not anymore so I think that was the issue) resubmitted form"
2570,1951,No,
2596,NA,Yes,Could not find incorrect ring 
1256,1969,No,
1080,1940,No,
2131,1978,No,
2501,1918,No,
pm99,1938,No,
2116,1950,No,
1275,1991,No,
1273Z,1935,No,
2139,1978,no,multiple rings not counted. tried adding them back and disabling different ones but nothing helped
2508,1978,no,really bad alignment after 1915. potential for better alignment but would have to add two ring and there's no rings to add
1403,1935,no,
2126,2005,no,
2110,1959,no,Not sure if it was intentional but there's a ring with two seperate points on it. Trid disabling it but doesnt really help
1455,NA,Yes,
1448,NA,Yes,"Already reviewed, added ring didn't make sense, removed"
1357Z,NA,Yes,"Deleted added ring, improved alignment"
