"","Timestamp","Core.number","Newer.record.exists.","Core.has.multiple.records.","Modification.s..made","If.adding.or.removing.rings...","Core.status","Good.alignment.through.year","Was.alignment.limited.by.reference.chronology.length.","Other.notes","Person","Derek.double.check.needed.","Crossdating.by...","Were.there.multiple.potential.ways.to.get.good.alignment.","If.modification.did.not.make.sense.in.image...","X","done_date","tree_id","former.id","species","dbh","x","y","elev","plot.id","cluster"
"1","3/3/2015 11:45:03","1292",FALSE,FALSE,"Dated core","","Good alignment throughout",NA,"No","","Rosie","Still calibrating","","",NA,"",2015-03-03 11:45:03,"1292","","CADE","62",-92430,175134,1228,"SSA76","NH"
"2","3/3/2015 11:53:05","1288",FALSE,FALSE,"Dated core","","Good alignment throughout",NA,"No","","Rosie","looks stochastic","","",NA,"",2015-03-03 11:53:05,"1288","","CADE","49.5",-92403,175148,1234,"SSA76","NH"
"3","3/3/2015 12:16:34","1047",FALSE,FALSE,"Dated core","","Good alignment through year X",1931,"No","","Rosie","97&'96 outliers on curve display, on core look very normal. Everything else looks ok?","","",NA,"",2015-03-03 12:16:34,"1047","","PIPO","81.3",-103173,188779,1193,"SS82","NH"
"4","3/3/2015 13:27:45","1100",FALSE,FALSE,"Dated core, Removed ring(s)","Yes","Good alignment throughout",NA,"No","","Rosie","It worked much better to remove the last year's ring- but it doesn't look like bark","","",NA,"",2015-03-03 13:27:45,"1100","","PSME","104",-84971,184393,1552,"TR15","NH"
"5","3/9/2015 13:34:55","1239",FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)","No","Good alignment throughout",NA,"No","rings btwn 1917 and 1910","Sky","alignment for years prior to 1917","","",1933,"",2015-03-09 13:34:55,"1239","","PIPO","53.1",66663,-91310,1527,"RT02C","SH"
"6","3/9/2015 14:53:46","2157",FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)","No","Good alignment through year X",1900,"Yes","years before 1910","Sky","align to reference or image for yrs mentioned?","","",1958,"",2015-03-09 14:53:46,"2157","","PIPO","56.2",25647,-33186,1424,"RS54","SL"
"7","4/1/2015 10:12:35","1321",FALSE,FALSE,"Dated core","","Good alignment throughout",NA,"No","the red plot shows a crazy exponential tail, it looks really weird ","Rosie","This core is crazy, yes","","",NA,"",2015-04-01 10:12:35,"1321","","PSME","28",-52806,113483,1074,"ZA22","NL"
"8","4/1/2015 15:44:14","2510",FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)","No","Good alignment through year X",1895,"Yes","","Sky","check dating","","",1935,"",2015-04-01 15:44:14,"2510","","PIPO","142.9",27993,-48944,1464,"SA03","SL"
"9","4/2/2015 15:03:07","2572",FALSE,FALSE,"Dated core","","Good alignment through year X",1950,"No","","Alec","Looked like another ring should be added around 1950 but when I trying adding,  alignment did not really improve","","",NA,"",2015-04-02 15:03:07,"2572","","ABCO","37.2",28483,-52324,1201,"RT02","SL"
"10","4/9/2015 12:08:01","1241",FALSE,FALSE,"Dated core, Added ring(s)","Yes","Good alignment throughout",NA,"No","","Sky","alignment in beginning in core- correct dating?","","",NA,"",2015-04-09 12:08:01,"1241","","PIPO","67.5",66674,-91287,1533,"RT02C","SH"
