,Timestamp,Core.number,Newer.record.exists.,Core.has.multiple.records.,Modification.s..made,If.adding.or.removing.rings...,Core.status,Good.alignment.through.year,Was.alignment.limited.by.reference.chronology.length.,Other.notes,Person,Derek.double.check.needed.,Crossdating.by...,Were.there.multiple.potential.ways.to.get.good.alignment.,If.modification.did.not.make.sense.in.image...,X,done_date,tree_id,former.id,species,dbh,x,y,elev,plot.id,cluster,done
1,3/3/2015 11:45,1292,FALSE,FALSE,Dated core,,Good alignment throughout,NA,No,,Rosie,Still calibrating,,,NA,,3/3/2015 11:45,1292,,CADE,62,-92430,175134,1228,SSA76,NH,DY
2,3/3/2015 11:53,1288,FALSE,FALSE,Dated core,,Good alignment throughout,NA,No,,Rosie,looks stochastic,,,NA,,3/3/2015 11:53,1288,,CADE,49.5,-92403,175148,1234,SSA76,NH,DY
3,3/3/2015 12:16,1047,FALSE,FALSE,Dated core,,Good alignment through year X,1931,No,,Rosie,"97&'96 outliers on curve display, on core look very normal. Everything else looks ok?",,,NA,,3/3/2015 12:16,1047,,PIPO,81.3,-103173,188779,1193,SS82,NH,DY
4,3/3/2015 13:27,1100,FALSE,FALSE,"Dated core, Removed ring(s)",Yes,Good alignment throughout,NA,No,,Rosie,It worked much better to remove the last year's ring- but it doesn't look like bark,,,NA,,3/3/2015 13:27,1100,,PSME,104,-84971,184393,1552,TR15,NH,DY
5,3/9/2015 13:34,1239,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment throughout,NA,No,rings btwn 1917 and 1910,Sky,alignment for years prior to 1917,,,1933,,3/9/2015 13:34,1239,,PIPO,53.1,66663,-91310,1527,RT02C,SH,DY
6,3/9/2015 14:53,2157,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1900,Yes,years before 1910,Sky,align to reference or image for yrs mentioned?,,,1958,,3/9/2015 14:53,2157,,PIPO,56.2,25647,-33186,1424,RS54,SL,DY - ring 1958 unjustified
7,4/1/2015 10:12,1321,FALSE,FALSE,Dated core,,Good alignment throughout,NA,No,"the red plot shows a crazy exponential tail, it looks really weird ",Rosie,"This core is crazy, yes",,,NA,,4/1/2015 10:12,1321,,PSME,28,-52806,113483,1074,ZA22,NL,DY
8,4/1/2015 15:44,2510,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1895,Yes,,Sky,check dating,,,1935,,4/1/2015 15:44,2510,,PIPO,142.9,27993,-48944,1464,SA03,SL,DY
9,4/2/2015 15:03,2572,FALSE,FALSE,Dated core,,Good alignment through year X,1950,No,,Alec,"Looked like another ring should be added around 1950 but when I trying adding,  alignment did not really improve",,,NA,,4/2/2015 15:03,2572,,ABCO,37.2,28483,-52324,1201,RT02,SL,DY
10,4/9/2015 12:08,1241,FALSE,FALSE,"Dated core, Added ring(s)",Yes,Good alignment throughout,NA,No,,Sky,alignment in beginning in core- correct dating?,,,NA,,4/9/2015 12:08,1241,,PIPO,67.5,66674,-91287,1533,RT02C,SH,DY
11,4/14/2015 10:48,2528,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1960,No,,Alec,"Outer rings are very hard to see, may not be marked correctly and be affecting alignment",,,NA,,4/14/2015 10:48,2528,,PIPO,115.1,33179,-52947,1276,RS10,SL,DY
12,4/16/2015 12:54,2523,FALSE,FALSE,Dated core,,Good alignment through year X,1952,No,,Sky,"truncated alignment after 1952,  but it may be adjusted to fit better",,,NA,,4/16/2015 12:54,2523,,ABCO,42.5,28161,-48866,1450,SA03,SL,DY
