"sample.clean","tree.id","sample","species","ref.chron","dated","truncated","nrings","completed.by","completed.date","previous crossdating results","Alignment good through","previous crossdating notes","previous crossdating notes2"
"1157","1157","1157","PIPO",TRUE,TRUE,"ab",29,"Cameron","6/25/2015 13:39:23","Poor alignment  throughout",NA,"Abs really messed up this core- hard to get anything out of it",""
"1148","1148","1148","PIPO",TRUE,TRUE,"no",111,"Joshua","6/23/2015 14:17:51","Good alignment throughout",NA,"",""
"1150","1150","1150","PIPO",TRUE,TRUE,"no",109,"Joshua","7/8/2015 20:26:34","Good alignment throughout",NA,"",""
"1149","1149","1149","PSME",TRUE,TRUE,"no",106,"Cameron","10/12/2015 14:09:45","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"1158","1158","1158","PIPO",TRUE,TRUE,"no",81,"Cameron","6/23/2015 15:25:30","Good alignment throughout",NA,"",""
"1154","1154","1154","PIPO",TRUE,TRUE,"no",75,"Morgan","6/25/2015 15:24:21","Good alignment throughout",NA,"",""
"1145","1145","1145","PSME",TRUE,TRUE,"no",74,"Joshua","6/23/2015 15:46:10","Good alignment throughout",NA,"",""
"1147","1147","1147","PSME",TRUE,TRUE,"no",74,"Joshua","6/23/2015 15:19:39","Good alignment throughout",NA,"",""
"1160","1160","1160","PIPO",TRUE,TRUE,"no",72,"Joshua","6/23/2015 15:35:34","Good alignment throughout",NA,"",""
"1146","1146","1146","PIPO",TRUE,TRUE,"no",69,"Cameron","10/12/2015 14:29:44","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"1144A","1144","1144A","PIPO",TRUE,TRUE,"no",63,"Cameron","6/25/2015 13:27:04","Good alignment through year X",1966,"",""
"1152","1152","1152","PSME",TRUE,TRUE,"no",55,"Joshua","6/25/2015 15:38:06","Good alignment throughout",NA,"",""
"1153","1153","1153","PIPO",TRUE,TRUE,"no",55,"Joshua","6/25/2015 14:20:26","Good alignment throughout",NA,"",""
"1156","1156","1156","PSME",TRUE,TRUE,"no",55,"Cameron","6/25/2015 15:10:32","Good alignment throughout",NA,"",""
"1144B","1144","1144B","PIPO",TRUE,TRUE,"no",53,"Joshua","6/25/2015 15:55:33","Good alignment throughout",NA,"",""
"1155","1155","1155","PSME",TRUE,TRUE,"no",49,"Joshua","6/25/2015 14:29:10","Good alignment throughout",NA,"",""
"1143","1143","1143","PSME",TRUE,TRUE,"no",44,"Joshua","6/25/2015 14:43:55","Good alignment throughout",NA,"",""
"1151","1151","1151","PSME",TRUE,TRUE,"no",44,"Morgan","6/25/2015 12:50:30","Good alignment throughout",NA,"",""
"1159","1159","1159","PSME",TRUE,TRUE,"no",42,"Morgan","6/19/2015 12:41:49","Good alignment throughout",NA,"",""
"1161","1161","1161","PIPO",TRUE,TRUE,"no",42,"Joshua","6/23/2015 14:28:35","Good alignment throughout",NA,"",""
"1162","1162","1162","PSME",TRUE,TRUE,"no",33,"Joshua","6/25/2015 14:45:59","Good alignment throughout",NA,"",""
