"sample.clean","tree.id","sample","species","ref.chron","dated","truncated","nrings","completed.by","completed.date","previous crossdating results","Alignment good through","previous crossdating notes","previous crossdating notes2"
"1389","1389","1389","PIPO",TRUE,TRUE,"ab",153,"Rosie","4/1/2015 10:18:34","Good alignment through year X",1887,"",""
"1382","1382","1382","PIPO",TRUE,TRUE,"ab",93,"Rosie","4/1/2015 10:29:29","Good alignment through year X",1923,"",""
"1457","1457","1457","PILA",TRUE,TRUE,"no",191,"Alec","5/5/2015 11:32:37","Good alignment through year X",1887,"",""
"1334","1334","1334","PSME",TRUE,TRUE,"no",160,"Alec","5/11/2015 11:38:34","Good alignment throughout",NA,"",""
"1393","1393","1393","PSME",TRUE,TRUE,"no",134,"Alec","5/14/2015 15:49:30","Good alignment through year X",1887,"",""
"1171","1171","1171","PSME",TRUE,TRUE,"no",128,"Paige","7/27/2018 18:26:27","Good alignment throughout",NA,"",""
"1182","1182","1182","PSME",TRUE,TRUE,"no",126,"Derek","8/27/2015 13:16:29","Good alignment throughout",NA,"",""
"1452","1452","1452","PSME",TRUE,TRUE,"no",125,"Sky","5/20/2015 16:27:12","Good alignment through year X",1905,"Modified by Cameron for task C.1: 10/12/15",""
"1489","1489","1489","PIPO",TRUE,TRUE,"no",122,"Alec","5/11/2015 11:59:19","Good alignment throughout",NA,"Added 2 rings, one made since visually the other did not",""
"1444","1444","1444","PSME",TRUE,TRUE,"no",120,"Sky","5/20/2015 16:26:36","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/12/15",""
"1474","1474","1474","PSME",TRUE,TRUE,"no",120,"Alec","5/12/2015 10:57:47","Good alignment throughout",NA,"",""
"1170","1170","1170","PSME",TRUE,TRUE,"no",118,"Derek","6/17/2015 11:44:46","Good alignment through year X",1951,"",""
"1059","1059","1059","ABCO",TRUE,TRUE,"no",115,"Sky","4/27/2015 14:09:02","Good alignment throughout",NA,"alignment between 1970 and 1950 unclear on how to make better, but otherwise great alignment",""
"1290","1290","1290","PIPO",TRUE,TRUE,"no",115,"Joshua","6/30/2015 18:10:51","Good alignment throughout",NA,"",""
"1093Z","1093","1093Z","ABCO",TRUE,TRUE,"no",114,"Sky","5/20/2015 17:09:51","Good alignment through year X",1922,"",""
"1345","1345","1345","PIPO",TRUE,TRUE,"no",112,"Cameron","9/30/2015 13:44:03","Good alignment throughout",NA,"",""
"1102","1102","1102","PIPO",TRUE,TRUE,"no",111,"Alec","5/5/2015 11:31:30","Good alignment throughout",NA,"",""
