"sample.clean","tree.id","sample","species","ref.chron","dated","truncated","nrings","completed.by","completed.date","previous crossdating results","Alignment good through","previous crossdating notes","previous crossdating notes2"
"2022","2022","2022","PSME",TRUE,TRUE,"no",240,"Sky","5/20/2015 16:35:29","Good alignment through year X",1835,"Modified by Cameron for task C.1: 10/14/15",""
"2023","2023","2023","PSME",TRUE,TRUE,"no",210,"Joshua","6/30/2015 12:09:40","Good alignment through year X",1835,"",""
"2020","2020","2020","PSME",TRUE,TRUE,"no",197,"Sky","5/20/2015 16:34:47","Good alignment through year X",1835,"Modified by Cameron for task C.1: 10/14/15",""
"2025","2025","2025","PSME",TRUE,TRUE,"no",157,"Sky","5/20/2015 16:34:08","Good alignment throughout",NA,"",""
"2026","2026","2026","PSME",FALSE,TRUE,"no",307,"Sky","5/20/2015 16:32:06","Good alignment through year X",1835,"Modified by Cameron for task C.1: 10/14/15",""
"2024","2024","2024","PSME",FALSE,TRUE,"no",275,"Cameron","6/25/2015 16:37:03","Good alignment through year X",1835,"This is one where a previous tech had said they put a point in that didn't make any sense, but after review it seemed fine. I went back and resolved an unc. ",""
"2031","2031","2031","PSME",FALSE,TRUE,"no",253,"Sky","5/20/2015 16:36:05","Good alignment through year X",1935,"",""
"2021","2021","2021","PSME",FALSE,TRUE,"no",222,"Cameron","10/6/2015 11:39:29","Good alignment through year X",1914,"Very long core, but very clear rings- no really good alignment could be achieved after 1978",""
"2030","2030","2030","PSME",FALSE,TRUE,"no",197,"Sky","5/20/2015 16:30:48","Good alignment through year X",1835,"Modified by Cameron for task C.1: 10/14/15",""
"2027","2027","2027","PSME",FALSE,TRUE,"no",150,"Sky","5/20/2015 16:39:24","Good alignment through year X",1903,"",""
"2028","2028","2028","ABCO",FALSE,TRUE,"no",148,"Sky","5/20/2015 16:29:51","Good alignment throughout",NA,"",""
"2029","2029","2029","ABCO",FALSE,TRUE,"no",135,"Sky","5/20/2015 16:29:19","Good alignment throughout",NA,"",""
