"sample.clean","tree.id","sample","species","ref.chron","dated","truncated","nrings","completed.by","completed.date","previous crossdating results","Alignment good through","previous crossdating notes","previous crossdating notes2"
"2057","2057","2057","PSME",TRUE,TRUE,"ab",89,"Sky","3/11/2015 14:43:31","Good alignment through year X",1924,"",""
"1404","1404","1404","ABCO",TRUE,TRUE,"ab",58,"Joshua","7/7/2015 10:42:05","Good alignment through year X",1943,"Fixed ring that should've been dual point but was set up as two points. Alignment doesn't change",""
"1411","1411","1411","PSME",TRUE,TRUE,"ab",46,"Sky","5/4/2015 14:12:41","Good alignment through year X",1967,"",""
"1254","1254","1254","PSME",TRUE,TRUE,"no",233,"Sky","5/7/2015 11:06:25","Good alignment throughout",NA,"",""
"1413","1413","1413","PIPO",TRUE,TRUE,"no",233,"Sky","5/4/2015 14:21:55","Good alignment through year X",1905,"",""
"1401","1401","1401","PSME",TRUE,TRUE,"no",162,"Sky","5/6/2015 15:34:56","Good alignment throughout",NA,"",""
"2056","2056","2056","PSME",TRUE,TRUE,"no",161,"Sky","5/7/2015 11:47:44","Good alignment through year X",1881,"",""
"1263","1263","1263","ABCO",TRUE,TRUE,"no",157,"Sky","4/9/2015 12:15:14","Good alignment throughout",NA,"",""
"1223","1223","1223","PSME",TRUE,TRUE,"no",156,"Sky","4/9/2015 12:23:01","Good alignment throughout",NA,"",""
"1260","1260","1260","PSME",TRUE,TRUE,"no",149,"Sky","5/6/2015 15:35:48","Good alignment throughout",NA,"",""
"1238","1238","1238","PIPO",TRUE,TRUE,"no",137,"Sky","5/7/2015 12:28:19","Good alignment through year X",1917,"",""
"1079","1079","1079","PSME",TRUE,TRUE,"no",128,"Sky","5/6/2015 15:39:21","Good alignment throughout",NA,"",""
"1236","1236","1236","ABCO",TRUE,TRUE,"no",123,"Sky","5/7/2015 12:34:20","Good alignment through year X",1952,"",""
"1403","1403","1403","ABCO",TRUE,TRUE,"no",119,"Sky","4/21/2015 13:26:13","Good alignment through year X",1892,"",""
"1266","1266","1266","ABCO",TRUE,TRUE,"no",117,"Sky","4/16/2015 11:32:46","Good alignment through year X",1894,"",""
"1257","1257","1257","ABCO",TRUE,TRUE,"no",113,"Sky","5/11/2015 13:58:55","Good alignment through year X",1915,"",""
"1264","1264","1264","ABCO",TRUE,TRUE,"no",113,"Sky","3/4/2015 14:23:47","Good alignment throughout",NA,"",""
"1267","1267","1267","PSME",TRUE,TRUE,"no",112,"Sky","3/9/2015 14:16:11","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/12/15",""
"1271","1271","1271","PSME",TRUE,TRUE,"no",109,"Sky","5/20/2015 15:57:20","Good alignment throughout",NA,"",""
"1074","1074","1074","PSME",TRUE,TRUE,"no",107,"Sky","5/6/2015 15:57:11","Good alignment through year X",1924,"",""
