"sample.clean","tree.id","sample","species","ref.chron","dated","truncated","nrings","completed.by","completed.date","previous crossdating results","Alignment good through","previous crossdating notes","previous crossdating notes2"
"1229","1229","1229","PSME",TRUE,TRUE,"ab",69,"Sky","5/4/2015 14:11:51","Good alignment through year X",1944,"",""
"2567Z","2567","2567Z","PSME",TRUE,TRUE,"ab",63,"Alec","5/4/2015 10:37:30","Good alignment throughout",NA,"",""
"2139","2139","2139","PIPO",TRUE,TRUE,"ab",34,"Sky","5/19/2015 13:07:20","Good alignment through year X",1963,"",""
"2022","2022","2022","PSME",TRUE,TRUE,"no",240,"Sky","5/20/2015 16:35:29","Good alignment through year X",1835,"Modified by Cameron for task C.1: 10/14/15",""
"2023","2023","2023","PSME",TRUE,TRUE,"no",209,"Joshua","6/30/2015 12:09:40","Good alignment through year X",1835,"",""
"2020","2020","2020","PSME",TRUE,TRUE,"no",197,"Sky","5/20/2015 16:34:47","Good alignment through year X",1835,"Modified by Cameron for task C.1: 10/14/15",""
"1226","1226","1226","PIPO",TRUE,TRUE,"no",193,"Sky","4/9/2015 11:35:46","Good alignment through year X",1829,"correlation varies within core between good fit and more-or-less good fit; did best to align to best correlation with out drastically altering image",""
"2037","2037","2037","PIPO",TRUE,TRUE,"no",192,"Joshua","6/30/2015 12:53:09","Good alignment through year X",1835,"",""
"1234","1234","1234","PIPO",TRUE,TRUE,"no",189,"Joshua","7/6/2015 19:08:19","Good alignment through year X",1829,"",""
"2512","2512","2512","PIPO",TRUE,TRUE,"no",183,"Sky","5/7/2015 11:43:23","Good alignment through year X",1881,"","first ring set to 2010, so there must be three missing rings we can't see"
"1111","1111","1111","PIPO",TRUE,TRUE,"no",169,"Joshua","6/25/2015 13:01:03","Good alignment throughout",NA,"",""
"2143","2143","2143","PIPO",TRUE,TRUE,"no",167,"Alec","4/14/2015 12:30:43","Good alignment through year X",1900,"",""
"2511","2511","2511","PIPO",TRUE,TRUE,"no",165,"Sky","4/9/2015 11:55:24","Good alignment through year X",1894,"",""
"2584","2584","2584","PIPO",TRUE,TRUE,"no",162,"Morgan","6/26/2015 12:19:43","Good alignment throughout",NA,"resubmission (fixed missing ring, alignment improved)",""
"2025","2025","2025","PSME",TRUE,TRUE,"no",157,"Sky","5/20/2015 16:34:08","Good alignment throughout",NA,"",""
"2509","2509","2509","PIPO",TRUE,TRUE,"no",140,"Sky","5/6/2015 15:36:34","Good alignment through year X",1881,"",""
"2569","2569","2569","PSME",TRUE,TRUE,"no",139,"Alec","3/31/2015 10:55:57","Good alignment through year X",1900,"",""
"2033","2033","2033","PIPO",TRUE,TRUE,"no",138,"Sky","5/7/2015 12:27:36","Good alignment through year X",1881,"",""
