"sample.clean","tree.id","sample","species","ref.chron","dated","truncated","nrings","completed.by","completed.date","previous crossdating results","Alignment good through","previous crossdating notes","previous crossdating notes2"
"1435","1435","1435","PSME",TRUE,TRUE,"no",115,"Alec","4/2/2015 13:32:17","Good alignment throughout",NA,"",""
"4020","4020","4020","PSME",TRUE,TRUE,"no",100,"Derek","8/27/2015 12:37:00","Good alignment through year X",1941,"",""
"2119","2119","2119","PSME",TRUE,TRUE,"no",87,"Sky","5/19/2015 13:12:20","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/14/15",""
"4021","4021","4021","PSME",TRUE,TRUE,"no",78,"Joshua","5/15/2015 13:41:13","Good alignment throughout",NA,"Added a ring but made more sense",""
"2125","2125","2125","PSME",TRUE,TRUE,"no",70,"Sky","4/1/2015 16:43:18","Good alignment through year X",1942,"",""
"4042","4042","4042","PSME",TRUE,TRUE,"no",65,"Sky","5/18/2015 13:10:16","Good alignment throughout",NA,"",""
"4002","4002","4002","PSME",TRUE,TRUE,"no",54,"Sky","5/13/2015 17:54:02","Good alignment throughout",NA,"",""
"2123","2123","2123","PIPO",FALSE,TRUE,"no",217,"Sky","4/7/2015 11:54:44","Poor alignment  throughout",NA,"best correlation is offset by a lot;need to heavily modify rings to not have to offset as much?","check dating"
"1453","1453","1453","PILA",FALSE,TRUE,"no",170,"Cameron","10/12/2015 13:44:10","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"1474","1474","1474","PSME",FALSE,TRUE,"no",120,"Alec","5/12/2015 10:57:47","Good alignment throughout",NA,"",""
"1403","1403","1403","ABCO",FALSE,TRUE,"no",119,"Sky","4/21/2015 13:26:13","Good alignment through year X",1892,"",""
"1465","1465","1465","PIPO",FALSE,TRUE,"no",115,"Alec","5/14/2015 11:19:42","Good alignment throughout",NA,"",""
"1471","1471","1471","ABCO",FALSE,TRUE,"no",102,"Cameron","10/12/2015 13:55:29","Good alignment throughout",NA,"Done during task A.3- clarified an unc and also redated core",""
"1448B","1448","1448B","PSME",FALSE,TRUE,"no",101,"Sky","5/20/2015 16:23:28","Good alignment throughout",NA,"",""
"1448","1448","1448","PSME",FALSE,TRUE,"no",93,"Sky","5/20/2015 16:13:01","Poor alignment  throughout",NA,"deleting adding ring made sense by plotcrossdating",""
"2137","2137","2137","PSME",FALSE,TRUE,"no",88,"Sky","4/2/2015 11:37:36","Good alignment through year X",1924,"",""
"1094","1094","1094","PSME",FALSE,TRUE,"no",86,"Sky","5/20/2015 16:57:56","Good alignment throughout",NA,"",""
"1406","1406","1406","ABCO",FALSE,TRUE,"no",60,"Sky","5/13/2015 16:25:28","Good alignment through year X",1986,"alignment between 1986 and 1975 poor, but good after that; could not fix alignment ",""
"4047","4047","4047","PSME",FALSE,TRUE,"no",56,"Sky","5/13/2015 17:26:17","Poor alignment  throughout",NA,"",""
"4038","4038","4038","PSME",FALSE,TRUE,"no",48,"Sky","4/28/2015 12:44:13","Good alignment throughout",NA,"had to move ring placement for rings 3,4 to drastically improve alignment but doesn't make sense in image","check rings 3 and 4 "
