plot.id,foc,cmp,tree.id,species,dbh,ba20,ref,brg.to.ref,backbrg,dist.to.ref,notes,tree.or.logger,former.id,
RT01,X,,1062,PSME,39.6,7,PM195,,,,pm195,tree,PM195,
RT01,,X,,PIPO,20-40,,,244,x,8.9,,tree,,
RT01,,X,,PILA,20-40,,,286,x,3.8,,tree,,
RT01,,X,,CADE,20-40,,,30,x,2.7,,tree,,
RT01,,X,,PSME,60-80,,,152,x,6.2,decay=3,tree,,
RT01,X,,1063,PIPO,53.6,6,1062,186,x,14.7,,tree,,
RT01,,X,,PILA,40-60,,,206,x,9.3,,tree,,
RT01,,X,,PSME,20-40,,,60,x,7.5,,tree,,
RT01,,X,,PSME,20-40,,,310,x,9.8,,tree,,
RT01,X,,1064,PSME,38.8,,PM210,,,,pm210,tree,PM210,
RT01,,X,,QUKE,20-40,,,136,x,3.7,,tree,,
RT01,,X,,QUKE,20-40,,,183,x,4.5,,tree,,
RT01,,X,,CADE,20-40,,,330,x,6.5,,tree,,
RT01,,X,,PSME,40-60,,,56,x,11,,tree,,
RT01,X,,1066,PSME,55.7,,PM213,,,,pm213,tree,PM213,
RT01,,X,,PILA,20-40,,,160,x,4.6,,tree,,
RT01,,X,,PIPO,20-40,,,286,x,4.1,,tree,,
RT01,,X,,PSME,20-40,,,48,x,5.5,,tree,,
RT01,X,,1065,PIPO,58.8,6,1066,130,,9.6,,tree,,
RT01,,X,,PSME,20-40,,,82,x,0.5,,tree,,
RT01,,X,,PSME,20-40,,,338,x,5.1,,tree,,
RT01,,X,,PSME,20-40,,,242,x,9,,tree,,
RT01,X,,1067,PIPO,45.5,11,1066,25,,8.3,,tree,,
RT01,,X,,PIPO,20-40,,,154,x,3.2,decay=2,tree,,
RT01,,X,,CADE,20-40,,,266,x,2.8,,tree,,
RT01,,X,,PSME,20-40,,,356,x,1.5,,tree,,
RT01,X,,1068,PSME,46.3,,PM208,,,,pm208,tree,PM208,
RT01,,X,,PSME,20-40,,,340,x,1.8,,tree,,
RT01,,X,,CADE,20-40,,,66,x,1,decay=2,tree,,
RT01,,X,,CADE,20-40,,,142,x,4.8,,tree,,
RT01,,X,,PIPO,20-40,,,234,x,6.5,,tree,,
RT01,X,,1069,PIPO,40.9,11,1068,326,,9.2,,tree,,
RT01,,X,,PSME,20-40,,,60,x,2.9,,tree,,
RT01,,X,,PSME,20-40,,,162,x,6.8,,tree,,
RT01,,X,,PSME,20-40,,,232,x,6.4,,tree,,
RT01,,X,,PSME,20-40,,,286,x,1.6,,tree,,
RT01,X,,1070,PSME,51.7,,PM186,,,,pm186,tree,PM186,
