name,lat,long,temp.dummy.coords,note,year.added
1074,37.19101986,-119.2486919,,,
1078,37.19099396,-119.2639846,,,
1220,37.1928477,-119.2478386,,,
1225,37.19067494,-119.2642813,,,
1235,37.19134256,-119.2642049,,,
1281,37.1974813,-119.244037,,,
1301,39.01908101,-120.7150605,,,
1316,39.035705,-120.6108368,,,
1321,39.03575001,-120.6105983,,,
1325,39.05341378,-120.6291368,,,
1337,39.05684919,-120.6223415,,,
1338,39.05678063,-120.6226597,,,
1341,39.0568631,-120.6228881,,,
1344,39.05699898,-120.6231385,,,
1345,39.0569864,-120.6226332,,,
1347,39.11048239,-120.5299613,,,
1353,39.11084927,-120.5302211,,,
1357,39.1106331,-120.524813,,,
1371,39.11701441,-120.4979789,,,
1381,39.19211458,-120.5691609,,,
1424,37.58380003,-119.8830534,,,
1425,37.58555646,-119.8809153,,,
1429,37.58521087,-119.8808827,,,
1432,37.58456077,-119.8803453,,,
1444,39.18620811,-120.5663106,,,
1456,39.1855938,-120.5668789,,,
1460,39.17958104,-120.5444424,,,
1470,39.18490841,-120.6304959,,,
1485,39.07360093,-120.7405802,,,
1496,37.58315463,-119.8824666,,,
1500,37.58347875,-119.8831664,,,
2000,37.72514004,-119.6412808,,,
2014,37.72526225,-119.6422902,,,
2016,37.72598293,-119.6417779,,,
2018,37.72598024,-119.6416346,,,
2020,37.7144154,-119.6529412,,,
2032,37.90955985,-119.8092771,,,
2162,37.71752425,-119.7227782,,,
2164,37.71771644,-119.7226016,,,
2165,37.71790579,-119.7226146,,,
2500,37.57575634,-119.6823093,,,
2524,37.5392928,-119.6238693,,,
2534,37.53900697,-119.6238259,,,
2542,37.54629462,-119.6765806,,,
2544,37.54671003,-119.6780152,,,
2546,37.54767177,-119.6792038,,,
2548R,37.55003823,-119.679949,,,
2551,37.55016438,-119.6842965,,,
2552,37.55026806,-119.6850348,,,
2553,37.55133617,-119.6858944,,,
2555,37.55085329,-119.6862252,,,
2559,37.55135234,-119.6851444,,,
2561,37.54527312,-119.6769609,,,
2577,37.54811341,-119.6773994,,,
2579,37.54862077,-119.6776311,,,
4000,38.93184962,-121.0332781,,,
4015,38.91438936,-121.0190697,,,
4019,38.91461148,-121.0185082,,,
4034,38.91459153,-121.0190158,,,
4036,38.95824783,-120.9693249,,,
4200,38.97057611,-120.9477507,,,
4207,38.96888078,-120.9489515,,,
4217,38.95784416,-120.968564,,,
bigfir,37.77639505,-119.8632381,,,
Logger,37.77951932,-119.8252277,,,
Loggerr,37.78197471,-119.8215996,,,
pm1,37.77639102,-119.863039,,,
pm10,37.77643293,-119.8626057,,,
pm100,37.57619069,-119.6819078,,,
pm101,37.71513188,-119.6587136,,,
pm102,37.71490574,-119.6588457,,,
pm103,37.7149733,-119.6589155,,,
pm104,37.71501898,-119.6589669,,,
pm105,37.71498973,-119.6589933,,,
pm106,37.71495821,-119.659021,,,
pm107,37.7148671,-119.6589851,,,
pm108,37.71482217,-119.6589188,,,
pm109,37.71494061,-119.6592203,,,
pm11,37.77639119,-119.8625477,,,
pm110,37.71496785,-119.6594468,,,
pm111,37.71519357,-119.6589251,,,
pm112,37.71539323,-119.659367,,,
pm113,37.71540388,-119.6593691,,,
pm114,37.71539859,-119.6589976,,,
pm115,37.71544226,-119.6589331,,,
pm12,37.77632187,-119.8625389,,,
pm142,37.90929305,-119.8115029,,,
pm143,37.90924301,-119.8114419,,,
pm144,37.90931409,-119.8114362,,,
pm145,37.90951392,-119.8111718,,,
pm146,37.90956982,-119.8111582,,,
pm147,37.90962171,-119.8111359,,,
pm148,37.9096316,-119.8110757,,,
pm149,37.90975054,-119.8112632,,,
pm150,37.90975858,-119.8112722,,,
pm151,37.90976697,-119.811291,,,
pm152,37.9098155,-119.8113471,,,
pm153,37.90979664,-119.8113683,,,
pm154,37.90982187,-119.8114068,,,
pm155,37.90988632,-119.8113344,,,
pm156,37.90989714,-119.8113421,,,
pm157,37.90985238,-119.8105058,,,
pm158,37.90973897,-119.8104843,,,
pm159,37.9097212,-119.8105156,,,
pm160,37.90970452,-119.8103504,,,
pm161,37.90995564,-119.8107798,,,
pm162,37.91000644,-119.810809,,,
pm163,37.90994039,-119.8106895,,,
pm164,37.91009855,-119.8106182,,,
pm165,37.9100341,-119.8104398,,,
pm166,37.91004323,-119.8102741,,,
pm167,37.90995087,-119.810405,,,
pm168,37.90994919,-119.8103637,,,
pm169,37.9099103,-119.8103807,,,
