"tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords"
"RT01.LOGGER","1073",FALSE,FALSE,TRUE,FALSE,"RT01","x","","","",NA,"1073",0,FALSE,0,"","logger","","",13.5,66452.006714517,-91512.3577381102,0
"RT02B.LOGGER","1074",FALSE,TRUE,FALSE,FALSE,"RT02B","x","","","",NA,"1074",0,FALSE,0,"","logger","","",13.5,66600.1660139226,-91485.4130348596,0
"RR7.LOGGER","1233",FALSE,FALSE,TRUE,FALSE,"RR7","x","","","",NA,"1233",0,FALSE,0,"","logger","","",13.5,65236.4356262317,-91546.7181874878,0
"RR7B.LOGGER","1230",FALSE,FALSE,TRUE,FALSE,"RR7B","x","","","",NA,"1230",0,FALSE,0,"","logger","","",13.5,65249.6894822686,-91506.9375200221,0
"RT02C.LOGGER","1221",FALSE,FALSE,TRUE,FALSE,"RT02C","x","","","",NA,"1221",0,FALSE,0,"","logger","","",13.5,66660.5800736128,-91289.6579340892,0
"RR32.LOGGER","1243",FALSE,TRUE,FALSE,FALSE,"RR32","x","","","",NA,"1243",0,FALSE,0,"","logger","","",13.5,62208.5091051758,-85140.9701897409,0
"RR33.LOGGER","1258",FALSE,FALSE,TRUE,FALSE,"RR33","x","","","",NA,"1258",0,FALSE,0,"","logger","","",13.5,62807.3032968015,-84125.2595104794,0
"RR71.LOGGER","1270",FALSE,FALSE,TRUE,FALSE,"RR71","x","","","",NA,"1270",0,FALSE,0,"","logger","","",13.5,63266.4641756518,-86833.1608844839,0
"RT02D.LOGGER","1280",FALSE,FALSE,TRUE,FALSE,"RT02D","x","","","",NA,"1280",0,FALSE,0,"","logger","","",13.5,67008.7072893523,-90762.2962474838,0
"YB01F.LOGGER","1436",FALSE,FALSE,TRUE,FALSE,"YB01F","x","","","",NA,"1436",0,FALSE,0,"","logger","","",13.5,10542.3855755899,-48003.0683920701,0
"YB01A.LOGGER","1500",FALSE,TRUE,FALSE,FALSE,"YB01A","x","","","",NA,"1500",0,FALSE,0,"","logger","","",13.5,10303.1299630442,-48116.1813113205,0
"RS98B.LOGGER","RS98BROCK",FALSE,TRUE,FALSE,FALSE,"RS98B","x","","","",NA,"RS98BROCK",0,FALSE,0,"","logger","","",13.5,33204.1912141049,-31904.0327143637,0
"RS91H.LOGGER","LOGGERR",FALSE,TRUE,FALSE,FALSE,"RS91H","x","","","",NA,"LOGGERR",0,FALSE,0,"","logger","","",13.5,15690.9552058014,-26041.7176705105,0
"RS01.LOGGER","2582",FALSE,FALSE,TRUE,FALSE,"RS01","x","","","",NA,"2582",0,FALSE,0,"","logger","","",13.5,28432.4491109537,-51955.5908895968,0
"TEDDY.LOGGER","2604",FALSE,FALSE,TRUE,FALSE,"TEDDY","x","","","",NA,"2604",0,FALSE,0,"","logger","","",13.5,30033.9592728249,-33440.5298350886,0
"ULC 1.LOGGER","4048",FALSE,FALSE,TRUE,FALSE,"ULC 1","x","","","",NA,"4048",250,FALSE,4.2,"","logger","","",263.5,-83917.8286585911,105116.813521536,0
"ZA04E.LOGGER","1447",FALSE,FALSE,TRUE,FALSE,"ZA04E","x","","","",NA,"1447",0,FALSE,0,"","logger","","",13.5,-48859.5458782506,130179.847206251,0
"ZA07.LOGGER","1464",FALSE,FALSE,TRUE,FALSE,"ZA07","x","","","",NA,"1464",0,FALSE,0,"","logger","","",13.5,-46994.2455556059,129462.017594603,0
"WA01.LOGGER","1479",FALSE,FALSE,TRUE,FALSE,"WA01","x","","","",NA,"1479",0,FALSE,0,"","logger","","",13.5,-54466.2785280638,130077.551463065,0
"SS24.LOGGER","1490",FALSE,FALSE,TRUE,FALSE,"SS24","x","","","",NA,"1490",0,FALSE,0,"","logger","","",13.5,-64021.4927232117,117780.263124163,0
"SS82.LOGGER","1085",FALSE,TRUE,FALSE,FALSE,"SS82","x","","","",NA,"1085",0,FALSE,0,"","logger","","",13.5,-103155.099473353,188728.274210759,0
"TR15.LOGGER","1003",FALSE,TRUE,FALSE,FALSE,"TR15","x","","","",NA,"1003",0,FALSE,0,"","logger","","",13.5,-84955.1230738376,184393.198650956,0
"TULLB.LOGGER","1284",FALSE,FALSE,TRUE,FALSE,"TULLB","x","","","",NA,"1284",0,FALSE,0,"","logger","","",13.5,-103616.955482865,166170.685912638,0
"SSA76.LOGGER","1294",FALSE,TRUE,FALSE,FALSE,"SSA76","x","","","",NA,"1294",0,FALSE,0,"","logger","","",13.5,-92424.771819058,175124.12762004,0
"SSC1.LOGGER","1025",FALSE,FALSE,TRUE,FALSE,"SSC1","x","","","",NA,"1025",12,FALSE,16.2,"","logger","","",25.5,-108748.449097734,179913.693831497,0
"SSC5B.LOGGER","1013",FALSE,FALSE,TRUE,FALSE,"SSC5B","x","","","",NA,"1013",0,FALSE,0,"","logger","","",13.5,-108622.292927092,179563.023642599,0
"SS81.LOGGER","1037",FALSE,FALSE,TRUE,FALSE,"SS81","x","","","",NA,"1037",0,FALSE,0,"","logger","","",13.5,-102907.433655232,188414.125638676,0
"SS81B.LOGGER","1044",FALSE,FALSE,TRUE,FALSE,"SS81B","x","","","",NA,"1044",0,FALSE,0,"","logger","","",13.5,-102695.645522664,188602.104624672,0
"TR01.LOGGER","1300",FALSE,TRUE,FALSE,FALSE,"TR01","x","","","",NA,"1300",0,FALSE,0,"","logger","","",13.5,-125478.023156952,195037.1091034,0
"RS91.LOGGER","LOGGER",FALSE,TRUE,FALSE,FALSE,"RS91","x","","","",NA,"LOGGER",0,FALSE,0,"","logger","","",13.5,15372.3543365212,-26315.26934864,0
"RS81.LOGGER","2165",FALSE,TRUE,FALSE,FALSE,"RS81","x","","","",NA,"2165",188,TRUE,7.7,"","logger","","",21.5,24415.0366748192,-33150.2519342166,0
"RS54.LOGGER","2152",FALSE,FALSE,TRUE,FALSE,"RS54","x","","","",NA,"2152",158,FALSE,9.4,"","logger","","",171.5,25645.2328108456,-33198.8349536795,0
"S1A.LOGGER","2082",FALSE,FALSE,TRUE,FALSE,"S1A","x","","","",NA,"2082",0,FALSE,0,"","logger","","",13.5,12066.7771492988,-26671.7480500003,0
"RS77.LOGGER","2048",FALSE,FALSE,TRUE,FALSE,"RS77","x","","","",NA,"2048",0,FALSE,0,"","logger","","",13.5,17776.0565312481,-10327.1872431968,0
"RS78.LOGGER","2059",FALSE,FALSE,TRUE,FALSE,"RS78","x","","","",NA,"2059",0,FALSE,0,"","logger","","",13.5,14555.9334902503,-12544.6298912513,0
"RS85B.LOGGER","2046",FALSE,FALSE,TRUE,FALSE,"RS85B","x","","","",NA,"2046",14,FALSE,11.8,"","logger","","",27.5,16643.2104063693,-11820.2850050584,0
"RR20.LOGGER","1405",FALSE,FALSE,TRUE,FALSE,"RR20","x","","","",NA,"1405",0,FALSE,0,"","logger","","",13.5,62481.592101529,-86582.2626597208,0
"RS98F.LOGGER","2017",FALSE,FALSE,TRUE,FALSE,"RS98F","x","","","",NA,"2017",0,FALSE,0,"","logger","","",13.5,31525.4584652435,-32223.7875667023,0
"RS58.LOGGER","2025",FALSE,FALSE,TRUE,FALSE,"RS58","x","","","",NA,"2025",0,FALSE,0,"","logger","","",13.5,30532.7381585536,-33514.1995431054,0
"SA03.LOGGER","2517",FALSE,FALSE,TRUE,FALSE,"SA03","x","","","",NA,"2517",0,FALSE,0,"","logger","","",13.5,28025.0812012944,-48929.7463134478,0
"RS10.LOGGER","2532",FALSE,FALSE,TRUE,FALSE,"RS10","x","","","",NA,"2532",0,FALSE,0,"","logger","","",13.5,33170.6926939858,-52976.0903365799,0
"RT02.LOGGER","2561",FALSE,TRUE,FALSE,FALSE,"RT02","x","","","",NA,"2561",18,FALSE,12.2,"","logger","","",31.5,28495.6912806107,-52331.5138905179,0
"ZA03.LOGGER","1384",FALSE,FALSE,TRUE,FALSE,"ZA03","x","","","",NA,"1384",0,FALSE,0,"","logger","","",13.5,-49144.8930539214,130832.102656607,0
"ZA22 .LOGGER","1322",FALSE,FALSE,TRUE,FALSE,"ZA22 ","x","","","",NA,"1322",0,FALSE,0,"","logger","","",13.5,-52805.1789861234,113484.706241039,0
"ZA24.LOGGER","1332",FALSE,FALSE,TRUE,FALSE,"ZA24","x","","","",NA,"1332",0,FALSE,0,"","logger","","",13.5,-54413.4433931419,115439.345041981,0
"SSA15.LOGGER","1304",FALSE,FALSE,TRUE,FALSE,"SSA15","x","","","",NA,"1304",0,FALSE,0,"","logger","","",13.5,-61835.9188105156,111687.87604969,0
"SS15.LOGGER","1345",FALSE,TRUE,FALSE,FALSE,"SS15","x","","","",NA,"1345",0,FALSE,0,"","logger","","",13.5,-53831.6926275456,115849.866566284,0
"ZA09.LOGGER","1349",FALSE,FALSE,TRUE,FALSE,"ZA09","x","","","",NA,"1349",0,FALSE,0,"","logger","","",13.5,-45803.5919195775,121765.977094426,0
"A1.LOGGER","1376",FALSE,FALSE,TRUE,FALSE,"A1","x","","","",NA,"1376",0,FALSE,0,"","logger","","",13.5,-42994.4452915804,122466.018484905,0
"ZA10A-C .LOGGER","1358",FALSE,FALSE,TRUE,FALSE,"ZA10A-C ","x","","","",NA,"1358",0,FALSE,0,"","logger","","",13.5,-45350.643526266,121739.784364019,0
"ARE1 .LOGGER","4202",FALSE,FALSE,TRUE,FALSE,"ARE1 ","x","","","",NA,"4202",0,FALSE,0,"","logger","","",13.5,-82036.0819736819,106467.029169291,0
"HEN1.LOGGER","4035",FALSE,FALSE,TRUE,FALSE,"HEN1","x","","","",NA,"4035",0,FALSE,0,"","logger","","",13.5,-88269.7967313763,100318.081507401,0
"LLC1.LOGGER","4000",FALSE,TRUE,FALSE,FALSE,"LLC1","x","","","",NA,"4000",304,TRUE,5.8,"","logger","","",137.5,-89489.6466559426,102256.678451415,0
