"tree.id","former.id","species","dbh","x","y","elev","plot.id","cluster"
"1402","","PIPO","87.1",62455,-86587,1719,"RR20","SH"
"4020","","PSME","76.5",-88233,100324,379,"HEN1","NL"
"1403","","ABCO","45.3",62462,-86585,1720,"RR20","SH"
"4021","","PSME","59",-88229,100335,373,"HEN1","NL"
"4038","","PSME","27.2",-83918,105129,425,"ULC1","NL"
"1404","","ABCO","43.9",62472,-86583,1723,"RR20","SH"
"4022","","PSME","27.8",-88236,100337,372,"HEN1","NL"
"4039","","PSME","30.3",-83925,105123,430,"ULC1","NL"
"1445","","PILA","40.1",-48875,130182,1712,"ZA04A","NH"
"1405","","PSME","53",62482,-86582,1726,"RR20","SH"
"1382","","PIPO","62.8",-49131,130830,1676,"ZA03","NH"
"4023","","PSME","28.6",-88239,100336,373,"HEN1","NL"
"4040","","PSME","28.4",-83923,105126,428,"ULC1","NL"
"1446","","PILA","101.7",-48871,130173,1719,"ZA04A","NH"
"1471","","ABCO","70.1",-54422,130069,1463,"WA01","NH"
"1406","","ABCO","32.2",62493,-86571,1726,"RR20","SH"
"1383","","PSME","96.4",-49140,130826,1676,"ZA03","NH"
"4024","","PSME","31.1",-88253,100331,377,"HEN1","NL"
"4001","","PSME","51",-89491,102247,252,"LLC1","NL"
"1434","","PSME","63.7",10554,-48004,1098,"YB01F","SL"
"4041","","PSME","30.3",-83930,105126,429,"ULC1","NL"
"1447","","PSME","62.2",-48860,130180,1714,"ZA04A","NH"
"1472","","PILA","57.4",-54431,130077,1464,"WA01","NH"
"1095","","ABCO","74.2",-102900,188422,1184,"SS81","NH"
"1407","","PSME","31.7",62487,-86563,1723,"RR20","SH"
"2001","","PSME","43.6",31571,-32312,1214,"RS98F","SL"
"1384","","PSME","47.8",-49145,130832,1678,"ZA03","NH"
"1303","","PIPO","128",-61844,111676,725,"SSA15","NL"
"1359","","PSME","52.2",-45380,121765,1781,"ZA10A-C","NH"
"4025","","PISA","22.5",-88252,100333,376,"HEN1","NL"
"4002","","PSME","51",-89486,102255,249,"LLC1","NL"
"1435","","PSME","77.2",10548,-48003,1097,"YB01F","SL"
"4042","","PSME","32.7",-83932,105127,429,"ULC1","NL"
"1448","","PSME","35.6",-48857,130185,1713,"ZA04A","NH"
"1474","","PSME","52.2",-54429,130082,1463,"WA01","NH"
"1094","","PSME","45.1",-102899,188424,1184,"SS81","NH"
"2100","","PSME","171.9",15375,-26280,1483,"RS91","SL"
"1408","","PIPO","29.8",62488,-86557,1722,"RR20","SH"
"2003","","PIPO","41.2",31567,-32302,1215,"RS98F","SL"
"2022","","PSME","96.6",30545,-33509,1254,"RS58","SL"
